"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Start Date","Completion Date","Locations","URL"
101,"Efficacy of Baclofen in the Treatment of Alcohol Addiction","Completed","No Results Available","Liver Cirrhosis, Alcoholic","Drug: Baclofen|Drug: placebo","Catholic University of the Sacred Heart","Phase 1|Phase 2","86","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","February 2003","November 2006",,"https://ClinicalTrials.gov/show/NCT00525252"
102,"A Study to Assess the Safety and Effects of Intravenous (IV) Conivaptan on the Hepatic Hemodynamic Response in Cirrhotic Patients","Completed","Has Results","Liver Cirrhosis","Drug: conivaptan|Drug: Placebo","Cumberland Pharmaceuticals","Phase 2","20","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","December 2007","November 2008","Barcelona, Spain","https://ClinicalTrials.gov/show/NCT00592475"
103,"Refractory Ascites in Patients With Liver Cirrhosis, and the Potential Treatment With 48 Hours Infusion of Ularitide.","Not yet recruiting","No Results Available","Cirrhosis, Liver|Ascites Hepatic","Drug: Ularitide|Drug: Placebo","University of Aarhus|Aarhus University Hospital|ADS AIPHIA Development Services AG","Phase 2","38","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","August 1, 2020","August 31, 2023","Department of Hepatology and Gastroenterology, Aarhus University Hospital, Aarhus, Central Denmark Region, Denmark","https://ClinicalTrials.gov/show/NCT04311489"
104,"Midodrine, Octreotide and Albumin: Impact on Renal Function of Patients With Liver Cirrhosis and Renal Failure","Withdrawn","No Results Available","Fibrosis|Renal Failure|Hepatorenal Syndrome","Drug: Albumin|Drug: Midodrine|Drug: Octreotide","Anna Cruceta|Fundacion Clinic per a la Recerca Biomédica","Phase 2","0","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","July 2016","August 2017","Hospital Clinic i Provincial de Barcelona, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT01587222"
105,"Safety and Efficacy of SHED for Decompensated Liver Cirrhosis","Not yet recruiting","No Results Available","Liver Cirrhosis","Biological: SHED group","Changhai Hospital|Eastern Hepatobiliary Surgery Hospital|CAR-T (Shanghai) Biotechnology Co., Ltd.","Early Phase 1","40","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","December 2, 2019","December 31, 2021","Changhai Hospital, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT03957655"
106,"Dextran, a Plasma Expander, Offers New Hope for Patients With Decompensated Liver Cirrhosis and Acute Kidney Injury","Completed","No Results Available","Cirrhosis, Liver|AKI","Drug: Dextran 40","Ramathibodi Hospital","Phase 2|Phase 3","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","July 1, 2015","June 30, 2016",,"https://ClinicalTrials.gov/show/NCT03070353"
107,"Simvastatin in Preventing Liver Cancer in Patients With Liver Cirrhosis","Recruiting","No Results Available","Cirrhosis","Other: Laboratory Biomarker Analysis|Other: Placebo Administration|Other: Questionnaire Administration|Drug: Simvastatin","National Cancer Institute (NCI)","Phase 2","80","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","June 21, 2017","April 14, 2021","Cedars Sinai Medical Center, Los Angeles, California, United States|MedStar Georgetown University Hospital, Washington, District of Columbia, United States|Northwestern University, Chicago, Illinois, United States|University of Puerto Rico, San Juan, Puerto Rico","https://ClinicalTrials.gov/show/NCT02968810"
108,"Randomized Global Phase 3 Study to Evaluate the Impact on NASH With Fibrosis of Obeticholic Acid Treatment","Active, not recruiting","No Results Available","Non Alcoholic Steatohepatitis (NASH)","Drug: Obeticholic Acid|Drug: Placebo","Intercept Pharmaceuticals","Phase 3","2480","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","September 2015","October 2022","The University of Alabama at Birmingham, Birmingham, Alabama, United States|Digestive Health Specialists of the Southeast, Dothan, Alabama, United States|Institute for Liver Health, Chandler, Arizona, United States|Banner Advanced Liver Disease and Transplant Institute, Phoenix, Arizona, United States|St. Joseph's Hospital and Medical Center, Phoenix, Arizona, United States|Mayo Clinic Arizona, Phoenix, Arizona, United States|Liver Wellness Center, Little Rock, Arkansas, United States|Arkansas Gastroenterology, North Little Rock, Arkansas, United States|GW Research Inc., Chula Vista, California, United States|Precision Research Institute, Chula Vista, California, United States|eStudy Site, Chula Vista, California, United States|Southern California Research Center, Coronado, California, United States|Citrus Valley Gastroenterology, Covina, California, United States|TriWest Research Associates, LLC, El Cajon, California, United States|UCSF Fresno, Clinical Research Center, Fresno, California, United States|Fresno Clinical Research Center, Fresno, California, United States|Scripps Clinic, La Jolla, California, United States|University of California, San Diego, La Jolla, California, United States|Keck Medical Center of USC, Los Angeles, California, United States|Cedars-Sinai Medical Center, Los Angeles, California, United States|National Research Institute, Wilshire, Los Angeles, California, United States|Gastrointestinal Biosciences, Los Angeles, California, United States|Veteran Affairs Great Los Angeles Healthcare System, Los Angeles, California, United States|Stanford University, Palo Alto, California, United States|Inland Empire Liver Foundation, Rialto, California, United States|University of California Davis Medical Center, Sacramento, California, United States|Medical Associates Research Group, San Diego, California, United States|Kaiser Permanente, San Diego, California, United States|California Pacific Medical Center (CPMC), San Francisco, California, United States|University of California San Francisco (UCSF) / San Francisco General Hospital, San Francisco, California, United States|Quest Clinical Research, San Francisco, California, United States|University of California, San Francisco, San Francisco, California, United States|Silicon Valley Research Institute, San Jose, California, United States|University of Colorado Denver and Hospital, Aurora, Colorado, United States|South Denver Gastroenterology, PC, Englewood, Colorado, United States|Western States Clinical Research, Inc., Wheat Ridge, Colorado, United States|Yale University School of Medicine, New Haven, Connecticut, United States|Integrity Clinical Research, LLC, Doral, Florida, United States|UF Hepatology Research at CTRB, Gainesville, Florida, United States|Nature Coast Clinical Research, Inverness, Florida, United States|UF Health Jacksonville-Gastroenterology Emerson, Jacksonville, Florida, United States|Mayo Clinic, Jacksonville, Florida, United States|Florida Digestive Health Specialist Research Institute, Lakewood Ranch, Florida, United States|Sunrise Medical Research, Inc., Lauderdale Lakes, Florida, United States|Meridien Research, Maitland, Florida, United States|Bruce W. Carter Miami VA Medical Center, Miami, Florida, United States|Schiff Center for Liver Diseases, Miami, Florida, United States|ProLive Medical Research, Miami, Florida, United States|Janus Clinical Research, Inc., Miami, Florida, United States|Sensible Healthcare, LLC, Ocoee, Florida, United States|Florida Hospital Transplant Institute, Orlando, Florida, United States|South Florida Center of Gastroenterology, P.A., Wellington, Florida, United States|Florida Medical Clinic, P.A., Zephyrhills, Florida, United States|Summit Clinical Research, LLC, Athens, Georgia, United States|Digestive Healthcare of Georgia, Atlanta, Georgia, United States|Piedmont Atlanta Hospital, Atlanta, Georgia, United States|The Emory Clinic (TEC), Atlanta, Georgia, United States|Gastrointestinal Specialists of Georgia, Marietta, Georgia, United States|The Queen's Medical Center - Liver Center, Honolulu, Hawaii, United States|Grand Teton Research Group, Idaho Falls, Idaho, United States|Northwestern University, Feinberg School of Medicine, Chicago, Illinois, United States|The University of Chicago Medical Center, Chicago, Illinois, United States|Loyola University Medical Center, Maywood, Illinois, United States|Indiana University Health University Hospital, Indianapolis, Indiana, United States|Indianapolis Gastroenterology & Hepatology, Indianapolis, Indiana, United States|The University of Kansas Medical Center, Kansas City, Kansas, United States|The Medical Center of Bowling Green, Bowling Green, Kentucky, United States|University of Kentucky Chandler Medical Center, Lexington, Kentucky, United States|University of Louisville Medical, Clinical Trials Unit, Louisville, Kentucky, United States|Tulane Medical Center, New Orleans, Louisiana, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Louisiana Research Center, LLC, Shreveport, Louisiana, United States|Investigative Clinical Research, Annapolis, Maryland, United States|Mercy Medical Center, Baltimore, Maryland, United States|Johns Hopkins Hospital, Baltimore, Maryland, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Boston Medical Center, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Lahey Hospital & Medical Center, Burlington, Massachusetts, United States|University of Massachusetts Medical School, Worcester, Massachusetts, United States|Henry Ford Health System, Detroit, Michigan, United States|Gastroenterology Associates of Western Michigan, d.b.a West Michigan Clinical Research, Wyoming, Michigan, United States|Huron Gastroenterology Associates/Center for Digestive Care, Ypsilanti, Michigan, United States|Mayo Clinic, Rochester, Minnesota, United States|Minnesota Gastroenterology, Saint Paul, Minnesota, United States|Southern Therapy and Advanced Research, LLC, Jackson, Mississippi, United States|Kansas City VA Medical Center, Kansas City, Missouri, United States|Kansas City Research Institute, Kansas City, Missouri, United States|Saint Louis University Gastroenterology & Hepatology, Saint Louis, Missouri, United States|Washington University School of Medicine - Gastroenterology, Saint Louis, Missouri, United States|CHI Health Alegent Creighton Clinic Gastroenterology, Omaha, Nebraska, United States|AGA Clinical Research Associates, LLC, Egg Harbor Township, New Jersey, United States|Amici Clinical Research, Martinsville, New Jersey, United States|Amici GI - LLC, Martinsville, New Jersey, United States|Rutgers University New Jersey Medical School, Newark, New Jersey, United States|AccumetRx Clinical Research, Albuquerque, New Mexico, United States|Montefiore Medical Center, Bronx, New York, United States|University at Buffalo, Clinical and Translational Research Center, Buffalo, New York, United States|Mount Sinai Beth Israel, New York, New York, United States|Concorde Medical Group PLLC, New York, New York, United States|New York University (NYU) Langone Medical Center, New York, New York, United States|Icahn School of Medicine at Mt. Sinai, New York, New York, United States|Columbia University Medical Center, New York, New York, United States|Weill Cornell Medical College, New York, New York, United States|University of Rochester Medical Center, Rochester, New York, United States|Asheville Gastroenterology Associates, PA, Asheville, North Carolina, United States|University of North Carolina at Chapel Hill, School of Medicine, Chapel Hill, North Carolina, United States|Center for Liver Disease, Charlotte, North Carolina, United States|Charlotte Gastroenterology & Hepatology, Charlotte, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States|Cumberland Research Associates, LLC, Fayetteville, North Carolina, United States|Carolinas Center for Liver Disease/Carolinas HeatlhCare System, Huntersville, North Carolina, United States|Digestive Health Specialists, PA, Winston-Salem, North Carolina, United States|Consultants for Clinical Research, Cincinnati, Ohio, United States|University of Cincinnati, Cincinnati, Ohio, United States|University Hospitals Case Medical Center, Cleveland, Ohio, United States|MetroHealth Medical Center, Cleveland, Ohio, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Clinical Research Solutions, Middleburg Heights, Ohio, United States|INTEGRIS Baptist Medical Center, Oklahoma City, Oklahoma, United States|Doylestown Health Gastroenterology, Doylestown, Pennsylvania, United States|Hillmont GI, pc, Flourtown, Pennsylvania, United States|The Pennsylvania State University and The Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States|Drexel University, Philadelphia, Pennsylvania, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Einstein Healthcare Network, Philadelphia, Pennsylvania, United States|UPMC, Pittsburgh, Pennsylvania, United States|University Gastroenterology, Providence, Rhode Island, United States|Greenville Health System, Gastroenterology and Liver Center, Greenville, South Carolina, United States|Rapid City Medical Center, Rapid City, South Dakota, United States|WR-ClinSearch, LLC, Chattanooga, Tennessee, United States|Gastro One, Germantown, Tennessee, United States|Associates in Gastroenterology, PLC, Hermitage, Tennessee, United States|Clinical Research Solutions, Jackson, Tennessee, United States|East Tennesse Research Institute, Johnson City, Tennessee, United States|Methodist Healthcare, University Hospital, Memphis, Tennessee, United States|Nashville Gastrointestinal Specialists, Nashville, Tennessee, United States|Quality Medical Research, PLLC, Nashville, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Texas Clinical Research Institute, Arlington, Texas, United States|The Liver Institute at Methodist Dallas Medical Center, Dallas, Texas, United States|Liver Center of Texas, Dallas, Texas, United States|Texas Digestive Disease Consultants, Dallas, Texas, United States|UT Southwestern Medical Center, Dallas, Texas, United States|MedResearch, Inc., El Paso, Texas, United States|Brooke Army Medical Center, Fort Sam Houston, Texas, United States|Baylor Scott & White All Saints Medical Center, Fort Worth, Texas, United States|Texas Digestive Disease Consultants, Fort Worth, Texas, United States|Baylor College of Medicine Ben Taub General Hospital, Houston, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|Houston Methodist Hospital, Houston, Texas, United States|Liver Associates of Texas, P.A., Houston, Texas, United States|The University of Texas Health Science Center at Houston-Medical School IM-Division of Gastroenterology, Hepatology & Nutrition, Houston, Texas, United States|Centex Studies, Inc., Houston, Texas, United States|Centex Studies, Inc., McAllen, Texas, United States|American Research Corporation at the Texas Liver Institute, San Antonio, Texas, United States|Gastroenterology Consultants of San Antonio, San Antonio, Texas, United States|Texas Digestive Disease Consultants - San Marcos, San Marcos, Texas, United States|University of Utah Hospital, Salt Lake City, Utah, United States|The University of Vermont Medical Center - Smith 2, Burlington, Vermont, United States|University of Virginia Health System, Charlottesville, Virginia, United States|Inova Fairfax Medical Campus, Falls Church, Virginia, United States|Digestive and Liver Disease Specialists, Norfolk, Virginia, United States|Bon Secours St. Mary's Hospital, Richmond, Virginia, United States|McGuire DVAMC GI, Richmond, Virginia, United States|Virginia Commonwealth University Clinical Research Services Unit (CRSU), Richmond, Virginia, United States|Virginia Mason Medical Center, Seattle, Washington, United States|Swedish Organ Transplant and Liver Center, Seattle, Washington, United States|University of Washington Medical Center, Seattle, Washington, United States|University of Wisconsin Hospital & Clinics, Madison, Wisconsin, United States|Royal Adelaide Hospital Gastroenterology and Hepatology Dept., Adelaide, Australia|Flinders Medical Centre, Bedford Park, Australia|Royal Brisbane and Women's Hospital, Brisbane, Australia|Gallipoli Medical Research Foundation, Brisbane, Australia|AW Morrow Gastroenterology and Liver Centre Royal Prince Alfred Hospital, Camperdown, Australia|Monash Health - Monash Medical Centre, Clayton, Australia|Austin Hospital, Heidelberg, Australia|Nepean Hospital, Kingswood, Australia|The Alfred Hospital, Department of Gastroenterology, Melbourne, Australia|Fiona Stanley Hospital, Murdoch, Australia|The Royal Melbourne Hospital, Parkville, Australia|Westmead Hospital, Westmead, Australia|Medizinische Universität Innsbruck Universitätsklinik für Innere Medizin I Gastroenterologie und Hepatologie, Innsbruck, Austria|Klinikum Klagenfurt am Wörthersee, Klagenfurt, Austria|Ordensklinikum Linz GmbH, Linz, Austria|Uniklinikum Salzburg, Salzburg, Austria|Medizinische Universität Wien, Wien, Austria|UZ Antwerpen, Edegem, Antwerp, Belgium|ULB Hȏpital Erasme - Gastroenterology, Brussels, Brabant, Belgium|UZ Leuven Campus Gathuisberg Hepatology Department, Leuven, Vlaams-Brabant, Belgium|AZ Sint-Jan Brugge Oostende, Brugge, Belgium|UCL Saint-Luc - Hepatology Department, Brussels, Belgium|Ziekenhuis Oost-Limburg (ZOL), Genk, Belgium|UZ Gent Gastroenterology Department, Ghent, Belgium|AZ Nikolaas, Sint-Niklaas, Belgium|University of Alberta, Edmonton, Alberta, Canada|University of Calgary Liver Unit, Calgary, Canada|GI Research, Edmonton, Canada|London Health Sciences Centre University Hospital, London, Canada|Centre de Recherche du Centre Hospitalier de l'Universite de Montreal, Montreal, Canada|The Research Institute of the McGill University Health Centre, Montreal, Canada|Toronto Center for Liver Disease, Toronto, Canada|Toronto Liver Centre, Toronto, Canada|Gordon and Leslie Diamond Health Care Centre, Vancouver, Canada|GIRI - GI Research Institute, Vancouver, Canada|PerCuro Clinical Research, Victoria, Canada|John Buhler Research Centre, Winnipeg, Canada|Aalborg University Hospital, Aalborg, Denmark|Aarhus University Hospital Medicinsk Hepatogastroenterologisk Afdeling, Aarhus, Denmark|Copenhagen University Hospital Hvidovre, Hvidovre, Denmark|Odense University Hospital, Odense, Denmark|Helsinki University Hospital, Helsinki, Finland|Turku University Hospital, Turku, Finland|CHU Amiens Picardie, Amiens, France|CHU Angers-Service d'Hepato-Gastroenterologie, Angers, France|Centre hospitalier Pierre Oudot, Bourgoin-Jallieu, France|CHU Beaujon-Service d'Hépatologie, Clichy, France|Hôpital Henri Mondor - Service d'hépatologie, Creteil, France|CHU Grenoble, Grenoble, France|CHRU Hôpital Claude Huriez, Lille, France|Hôpital de la Croix Rousse, Lyon, France|Hôpital Saint Joseph, Marseille, France|Hôpital de l'Archet II-CHU Nice, Nice, France|Service d'Hepato-Gastroenterologie CHR Orleans - La Source, Orléans, France|Hospital Saint Antoine Department of Hepatology, Paris, France|Hôpital Cochin, Paris, France|Hôpital de la Pitié Salpétrère, Paris, France|Hopital Haut-Lévêque-Hépatogastroentérologie-Bât USN, Pessac, France|CHU de Rouen, Rouen, France|CHU Toulouse - Hopital de Purpan, Toulouse, France|CHU de Nancy - Hôpital de Brabois adultes, Vandoeuvre-Lès-Nancy, France|Hopital Paul Brousse, Villejuif, France|Universitätsklinikum Heidelberg Medizinischen Klinik IV Gastroenterologie und Hepatologie, Heidelberg, Baden-Wurttemberg, Germany|Friedrich-Alexander-Universität Erlangen Medizinische Klinik 1, Erlangen, Bavaria, Germany|Universitätsmedizin Mainz, I. Med. Klinik und Poliklinik, Mainz, Rhineland-Palatinate, Germany|Universitätsklinikum Leipzig Klinik für Gastroenterologie und Rheumatologie-Sektion Hepatologie, Leipzig, Saxony, Germany|Universitatsklinikum Aachen, RWTH Aachen, Medizinische Klinik III, Aachen, Germany|Charite Universitätsmedizin Campus Virchow, Berlin, Germany|St. Josef-Hospital, Ruhr University Bochum, Bochum, Germany|Universtiy Hosptial Cologne Clinics for Gastroenterology and Hepatology, Cologne, Germany|Katholische Kliniken Ruhrhalbinsel GmbH, Essen, Germany|University Hospital Essen, Essen, Germany|Universitätsklinikum Hamburg- Eppendorf, Hamburg, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Gastroenterologische Gemeinschaftspraxis, Herne, Germany|Hepato-Gastroenterology Center Kiel, Kiel, Germany|EUGASTRO GmbH, Leipzig, Germany|Krankenhaus Barmherzige Bruder Innere Medizin I - Gastroenterologie, Munich, Germany|Universitätsklinikum Würzburg, Würzburg, Germany|Egyesitett Szent Istvan és Szent Laszlo, Budapest, Hungary|Kenezy Gyula Korhaz es Rendelointezet, Debrecen, Hungary|Pecsi Tudomanyegyetem Klinikai Kozpont, I. sz, Pécs, Hungary|Soroka Medical Center Division of Internal Medicine, Be'er Sheva, Israel|Carmel Medical Center, Haifa, Israel|Rambam Medical Center Center for Liver diseases, Haifa, Israel|Shaarei Zedek Medical Center, Jerusalem, Israel|Hadassah Ein Kerem MC, Jerusalem, Israel|West Galilee Hospital, Nahariya, Israel|Holy Family Medical Center, Nazareth, Israel|Rabin Medical Center, Liver Institute, Petach Tikva, Israel|Sheba Medical Center, Ramat Gan, Israel|Sourasky Tel-Aviv Medical Center, Tel Aviv, Israel|AOU Policlinico Sant'Orsola Malpighi, Bologna, Italy|University di Bologna - Dipartimento di Scienze Mediche e Chirurgiche — DIMEC, Bologna, Italy|Fondazione IRCCS Ca Granda Ospedale, Milano, Italy|Azienda Socio-Sanitaria Territoriale (ASST) Santi Paolo e Carlo, Milano, Italy|Fondazione IRCCS Ca' Grande Ospedale, Milano, Italy|Ospedale san Giuseppe - Multimedica, Milan, Italy|AOU di Modena Ospedale Civile, Modena, Italy|Azienda Ospedaliero Universitaria Policlinico, Naples, Italy|Policlinico Paolo Giaccone di Palermo, Palermo, Italy|University of Tor Vergata (Roma), Roma, Italy|Policlinico University Campus Biomedico, Rome, Italy|Istituto Clinico Humanitas, Rozzano, Italy|A.O.U. Città della Salute e della Scienza di Torino, Torino, Italy|Vrije Universiteit Medisch centrum, Amsterdam, Netherlands|University of Amsterdam, Amsterdam, Netherlands|Radboud University Nijmegen Medical Center, Nijmegen, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands|NZ Liver Transplant Unit, Grafton, Auckland, New Zealand|Middlemore Hospital, Auckland, New Zealand|Centrum Badan Klinicznych PI-House Sp. z o.o., Gdansk, Poland|Uniwersyteckie Centrum Kliniczne im. Prof K. Gibinskiego Slaskiego Uniwersytetu Medycznego w Katowicach, Katowice, Poland|Wojewodzki Specjalistyczny Szpital im. Dr WI. Bieganskiego, Lodz, Poland|Samodzielny Publiczny Szpital Kliniczny Nr 1, Lublin, Poland|Centrum Badan Klinicznych Piotr Napora, Wroclaw, Poland|Centro Hospitalar do Baixo Vouga, EPE, Aveiro, Portugal|Hospital da Senhora da Oliveira - Guimarães, Guimarães, Portugal|Centro Hospitalar de Lisboa Norte, EPE - Hosp. de Santa Maria, Lisboa, Portugal|Centro Hospitalar Lisboa Ocidental, Lisbon, Portugal|Klinical Investigations Group, LLC, San Juan, Puerto Rico|Ave Ponce De Leon #715, San Juan, Puerto Rico|Fundacion de Investigacion, San Juan, Puerto Rico|Clinical Center of Serbia, Belgrade, Serbia|University Medical Centar Zvezdara, Belgrade, Serbia|Clinical Hospital Center Bezanijska Kosa, Belgrade, Serbia|Clinical Center Nis, Nis, Serbia|Hospital Universitari Son Espases, Palma de Mallorca, Baleares, Spain|Hospital Universitario Puerta de Hierro Majadahonda, Majadahonda, Madrid, Spain|Hospital Universitario Fundación Alcorcon, Alcorcón, Spain|Hospital General y Universitario de Alicante, Alicante, Spain|Hospital del Mar, Barcelona, Spain|Hospital Universitario Vall d'Hebron, Barcelona, Spain|Hospital Clinic(o) de Barcelona, Barcelona, Spain|Complejo Asistencial Universitario de Leon, Leon, Spain|Hospital Universitario Ramon y Cajal, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital (Universitario) Virgen de la Victoria, Malaga, Spain|Hospital Universitario Donostia, San Sebastian, Spain|Hospital (Universitario) Marqués de Valdecilla, Santander, Spain|Hospital Clinico Universitario de Santiago, Santiago de Compostela, Spain|Hospital Universitario Virgen del Rocio, Sevilla, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Consorcio Hospital General Universitario, Valencia, Spain|Hospital Universitario La Fe., Valencia, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain|Sahlgrenska University Hospital, Gothenburg, Sweden|Universitetsjukhuset Linkoping, Linkoping, Sweden|Karolinska University Hospital, Stockholm, Sweden|UVCM Hepatologie, Bern, Switzerland|Epatocentro Ticino, Lugano, Switzerland|Hospital of St. Gallen, St.Gallen, Switzerland|University Clinic of Gastroenterology & Hepatology, Zürich, Switzerland|Royal Cornwall Hospital, Truro, Cornwall, United Kingdom|Royal Bournemouth Hospital, Bournemouth, Dorset, United Kingdom|Queen Alexandra Hospital, Portsmouth, Hampshire, United Kingdom|Norfolk and Norwich University Hospitals, Norwich, Norfolk, United Kingdom|John Radcliffe Hospital, Headington, Oxford, United Kingdom|Royal Surrey County Hospital NHS Trust, Guildford, Surrey, United Kingdom|Institute of Biomedical Research, Birmingham, United Kingdom|Bradford Royal Infirmary, Bradford, United Kingdom|University Hospital Bristol NHS Foundation Trust, Bristol, United Kingdom|Cambridge University Hospital, Cambridge, United Kingdom|University Hospitals Coventry & Warwickshire, Coventry, United Kingdom|Glasgow Royal Infirmary, NHS Greater, Glasgow, United Kingdom|Gastroenterology Department Hull Royal Infirmary, Hull, United Kingdom|University Hospital Aintree, Liverpool, United Kingdom|Royal London Hospital, London, United Kingdom|Institute for Liver and Digestive Health, London, United Kingdom|Guy's and St. Thomas NHS Foundation Trust, London, United Kingdom|St. Mary's Hospital, London, United Kingdom|Central Manchester University Hospital NHS Foundation Trust Manchester Royal Infirmary, Manchester, United Kingdom|The Newcastle Upon Tyne Hospitals NHS Foundation Trust, Newcastle Upon Tyne, United Kingdom|Nottingham Digestive Diseases and Biomedical Research Unit, Nottingham, United Kingdom|Derriford Hospital, Plymouth, United Kingdom","https://ClinicalTrials.gov/show/NCT02548351"
109,"Human Fetal Liver Cell Transplantation in Chronic Liver Failure","Completed","Has Results","Liver Cirrhosis","Other: Human Fetal Liver Cell Transplantation","The Mediterranean Institute for Transplantation and Advanced Specialized Therapies|University of Pittsburgh","Phase 1|Phase 2","25","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","February 2007","July 2011","ISMETT, Palermo, Italy","https://ClinicalTrials.gov/show/NCT01013194"
110,"A Pilot Study to Assess the Safety of Oral Insulin in Patients With Nonalcolholic Steatohepatitis (NASH)","Recruiting","No Results Available","Non-Alcoholic Steatohepatitis (NASH)|Type2 Diabetes Mellitus","Biological: Oral Insulin","Oramed, Ltd.|Hadassah Medical Organization","Phase 2","30","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","September 20, 2018","April 2020","Hadassah Medical Center, Jerusalem, Israel","https://ClinicalTrials.gov/show/NCT02653300"
111,"Dose Finding Study to Assess Safety and Efficacy of Stem Cells in Liver Cirrhosis","Completed","No Results Available","Alcoholic Liver Cirrhosis","Biological: Allogeneic Mesenchymal Stem Cells","Stempeutics Research Pvt Ltd","Phase 2","40","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","June 2012","April 2016","Centre for Liver Research & Diagnostics, Hyderabad, Andhra Pradesh, India|Mediciti Hospital, Hyderabad, Andhra Pradesh, India|Manipal Hospital, Bangalore, Karnataka, India|KMC Hospital, Mangalore, Karnataka, India|Institute of liver disease, HPB surgery and transplant Global Hospitals, Mumbai, Maharashtra, India|Bombay Hospital & Medical Research Center, Mumbai, Maharashtra, India|Ruby Hall clinic, Pune, Maharashtra, India|Sahyadri Speciality Hospital, Pune, Maharashtra, India|SMS Medical college and Hospital, Jaipur, Rajasthan, India|SGPGI Lucknow, Lucknow, Uttar Pradesh, India","https://ClinicalTrials.gov/show/NCT01591200"
112,"Cirrhotic Ascites Treatment With Satavaptan in Patients With Ascites Due to Cirrhosis of the Liver (CATS)","Completed","No Results Available","Ascites|Liver Cirrhosis","Drug: Satavaptan|Drug: placebo","Sanofi","Phase 3","463","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","July 2006","December 2008","Sanofi-Aventis Administrative Office, Bridgewater, New Jersey, United States|Sanofi-Aventis Administrative Office, Buenos Aires, Argentina|Sanofi-Aventis Administrative Office, Cove, New South Wales, Australia|Sanofi-Aventis Administrative Office, Diegem, Belgium|Sanofi-Aventis Administrative Office, Sao Paulo, Brazil|Sanofi-Aventis Administrative Office, Laval, Quebec, Canada|Sanofi-Aventis Administrative Office, Santiago, Chile|Sanofi-Aventis Administrative Office, Zagreb, Croatia|Sanofi-Aventis Administrative Office, Horsholm, Denmark|Sanofi-Aventis Administrative Office, Paris, France|Sanofi-Aventis Administrative Office, Budapest, Hungary|Sanofi-Aventis Administrative Office, Natanya, Israel|Sanofi-Aventis Administrative Office, Milano, Italy|Sanofi-Aventis Administrative Office, Gouda, Netherlands|Sanofi-Aventis Administrative Office, Warszawa, Poland|Sanofi-Aventis Administrative Office, Porto Salvo, Portugal|Sanofi-Aventis Administrative Office, Bucuresti, Romania|Sanofi-Aventis Administrative Office, Moscow, Russian Federation|Sanofi-Aventis Administrative Office, Madrid, Spain|Sanofi-Aventis Administrative Office, Bromma, Sweden|Sanofi-Aventis Administrative Office, Guildford, Surrey, United Kingdom","https://ClinicalTrials.gov/show/NCT00358878"
